Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2025-06-11 13:30:00+00:00,144.02499389648438,144.99000549316406,144.00999450683594,144.61000061035156,15871971
2025-06-11 13:35:00+00:00,144.1999969482422,144.3300018310547,143.80999755859375,144.02499389648438,4479170
2025-06-11 13:40:00+00:00,143.86000061035156,144.25999450683594,143.5500030517578,144.19500732421875,4488670
2025-06-11 13:45:00+00:00,143.55499267578125,143.9801025390625,143.02000427246094,143.86500549316406,4775972
2025-06-11 13:50:00+00:00,143.7100067138672,143.94000244140625,143.52999877929688,143.55499267578125,3126785
2025-06-11 13:55:00+00:00,143.7550048828125,143.98880004882812,143.50999450683594,143.7165069580078,2226847
2025-06-11 14:00:00+00:00,143.88999938964844,144.16990661621094,143.72000122070312,143.7550048828125,2944418
2025-06-11 14:05:00+00:00,143.85499572753906,144.02000427246094,143.52999877929688,143.89500427246094,2454645
2025-06-11 14:10:00+00:00,144.26499938964844,144.30999755859375,143.7550048828125,143.85499572753906,2673093
2025-06-11 14:15:00+00:00,144.22500610351562,144.3000030517578,143.99000549316406,144.26499938964844,1782387
2025-06-11 14:20:00+00:00,144.48300170898438,144.52830505371094,144.02000427246094,144.22500610351562,2562027
2025-06-11 14:25:00+00:00,144.477294921875,144.55999755859375,144.35000610351562,144.48500061035156,2227854
2025-06-11 14:30:00+00:00,144.5601043701172,144.6898956298828,144.39999389648438,144.48500061035156,2080374
2025-06-11 14:35:00+00:00,144.3000030517578,144.61990356445312,144.22999572753906,144.61000061035156,2787241
2025-06-11 14:40:00+00:00,144.2299041748047,144.33999633789062,144.05999755859375,144.30499267578125,1988732
2025-06-11 14:45:00+00:00,144.14500427246094,144.27000427246094,144.0500030517578,144.22000122070312,1553142
2025-06-11 14:50:00+00:00,144.1750030517578,144.3699951171875,144.10000610351562,144.14500427246094,1286930
2025-06-11 14:55:00+00:00,144.32839965820312,144.33990478515625,144.25,144.2617950439453,1392973
2025-06-11 15:00:00+00:00,144.35879516601562,144.38999938964844,144.17999267578125,144.28500366210938,1404538
2025-06-11 15:05:00+00:00,144.30999755859375,144.49000549316406,144.22000122070312,144.35000610351562,1091287
2025-06-11 15:10:00+00:00,143.84500122070312,144.0,143.42999267578125,143.4550018310547,5196603
2025-06-11 15:15:00+00:00,144.03500366210938,144.1699981689453,143.8300018310547,143.85499572753906,1631667
2025-06-11 15:20:00+00:00,144.27000427246094,144.27000427246094,143.99000549316406,144.02999877929688,1101808
2025-06-11 15:25:00+00:00,144.1501007080078,144.17999267578125,144.05999755859375,144.10499572753906,1741600
2025-06-11 15:30:00+00:00,144.1199951171875,144.1999969482422,144.07000732421875,144.1199951171875,1429182
2025-06-11 15:35:00+00:00,144.00999450683594,144.22999572753906,143.97999572753906,144.11549377441406,1128668
2025-06-11 15:40:00+00:00,143.8262939453125,144.02999877929688,143.6999969482422,144.00010681152344,1637917
2025-06-11 15:45:00+00:00,143.8249969482422,144.05499267578125,143.6416015625,143.8300018310547,1720704
2025-06-11 15:50:00+00:00,143.94000244140625,143.9698944091797,143.7449951171875,143.82000732421875,909746
2025-06-11 15:55:00+00:00,143.7799072265625,143.93580627441406,143.69000244140625,143.93580627441406,892768
2025-06-11 16:00:00+00:00,143.84500122070312,143.92999267578125,143.74000549316406,143.77999877929688,1483704
2025-06-11 16:05:00+00:00,143.66990661621094,143.85499572753906,143.4499969482422,143.85000610351562,1421014
2025-06-11 16:10:00+00:00,143.24000549316406,143.67999267578125,143.1999969482422,143.6699981689453,2000787
2025-06-11 16:15:00+00:00,143.06500244140625,143.4499969482422,143.00999450683594,143.23500061035156,1915619
2025-06-11 16:20:00+00:00,143.09500122070312,143.17999267578125,142.7729949951172,143.06500244140625,2630648
2025-06-11 16:25:00+00:00,143.37989807128906,143.39999389648438,143.0601043701172,143.08999633789062,1306634
2025-06-11 16:30:00+00:00,143.40150451660156,143.5,143.2899932861328,143.3759002685547,1258353
2025-06-11 16:35:00+00:00,143.35589599609375,143.49000549316406,143.27999877929688,143.39999389648438,1085197
2025-06-11 16:40:00+00:00,143.1750030517578,143.38999938964844,143.16000366210938,143.35989379882812,966130
2025-06-11 16:45:00+00:00,143.36000061035156,143.4250030517578,143.0218048095703,143.1750030517578,1149987
2025-06-11 16:50:00+00:00,143.3101043701172,143.47000122070312,143.19000244140625,143.36000061035156,810863
2025-06-11 16:55:00+00:00,143.4001007080078,143.47000122070312,143.2899932861328,143.32000732421875,790963
2025-06-11 17:00:00+00:00,143.6439971923828,143.6699981689453,143.3300018310547,143.40499877929688,1279161
2025-06-11 17:05:00+00:00,143.7342071533203,143.7949981689453,143.6177978515625,143.64500427246094,996722
2025-06-11 17:10:00+00:00,143.66000366210938,143.85000610351562,143.6199951171875,143.72999572753906,1054385
2025-06-11 17:15:00+00:00,143.64019775390625,143.77000427246094,143.5449981689453,143.6613006591797,797170
2025-06-11 17:20:00+00:00,143.6999969482422,143.8199005126953,143.6300048828125,143.63999938964844,722402
2025-06-11 17:25:00+00:00,143.7100067138672,143.76499938964844,143.61000061035156,143.71499633789062,674176
